Name,Location,City,State,StartDate,EndDate
Essence Music Festival,"New Orleans, Louisiana",New Orleans,LA,6/1/17,6/1/17
Urban Beach Week,"Miami, Florida",Miami,FL,5/1/17,5/1/17
Outside Lands Festival,"San Francisco, California",San Francisco,CA,8/1/17,8/1/17
Governors Ball Festival,"New York City, New York",New York City,NY,6/1/17,6/1/17
Made in America,"Philadelphia, Philadelphia",Philadelphia,PA,9/1/17,9/1/17
Afropunk Festival,"Brooklyn, New York",Brooklyn,NY,8/1/17,8/1/17
Summer Jam,"East Rutherford, New Jersey",East Rutherford,NJ,6/1/17,6/1/17
Camp Flog Gnaw Carnival,"Los Angeles, CA",Los Angeles,CA,11/1/17,11/1/17
The Brooklyn Hip-Hop Festival,"Brooklyn, New York",Brooklyn,NY,7/1/17,7/1/17
Soundset Music Festival,"Falcon Heights, MN",Falon Heights,MN,5/1/17,5/1/17
Trinity International Hip Hop Festival,"Hartford, Connecticut",Hartford,CT,4/1/17,4/1/17
Urban Street Jam,California,Anaheim,CA,3/1/17,3/1/17
"No Major, No Problem","Los Angeles, California",Los Angeles,CA,6/1/17,6/1/17
Sasquatch,"George, WA",George,WA,5/1/17,5/1/17
Roots Picnic,"Philadelphia, PA",Philadelphia,PA,6/1/17,6/1/17
Hot 97 Jam,"East Rutherford, NJ",East Rutherford,NJ,6/1/17,6/1/17
Bonnaroo Music Festival,"Manchester, TN",Manchester,TN,6/1/17,6/1/17
Panorama,"Randall's Island, NY",Randall's Island,NY,7/1/17,7/1/17
A3C,"Atlanta, GA",Atlanta,GA,10/1/17,10/1/17
SXSW,"Austin, TX",Austin,TX,3/1/17,3/1/17
Trillectro,"Washington, DC",Washington,DC,8/1/17,8/1/17
Coachella,"Indio, CA",Indio,CA,4/1/17,4/1/17
FYF Fest,"Los Angeles, CA",Los Angeles,CA,7/1/17,7/1/17
Rolling Loud Festival,"Miami, FL",Miami,FL,5/1/17,5/1/17
Hangout Music Fest,"Gulf Shores, AL",Gulf Shores,AL,5/1/17,5/1/17
Boston Calling,"Boston, MA",Boston,MA,5/1/17,5/1/17
Firefly Music Festival,"Dover, DE",Dover,DE,6/1/17,6/1/17
Lollapalooza,"Chicago, IL",Chicago,IL,7/1/17,7/1/17
